geneID	C2_con2
ENSG00000000003	2064
ENSG00000000005	6588
ENSG00000000419	740
ENSG00000000457	358
ENSG00000000460	343
ENSG00000000938	0
ENSG00000000971	621
ENSG00000001036	844
ENSG00000001084	491
ENSG00000001167	1549
ENSG00000001460	120
ENSG00000001461	214
ENSG00000001497	1410
ENSG00000001561	78
ENSG00000001617	616
ENSG00000001626	3
ENSG00000001629	2463
ENSG00000001630	133
ENSG00000001631	866
ENSG00000002016	565
ENSG00000002330	215
ENSG00000002549	857
ENSG00000002586	4
ENSG00000002587	238
ENSG00000002726	2
ENSG00000002745	1
ENSG00000002746	152
ENSG00000002822	855
ENSG00000002834	13932
ENSG00000002919	456
ENSG00000002933	46
ENSG00000003056	1326
ENSG00000003096	486
ENSG00000003137	443
ENSG00000003147	32
ENSG00000003249	117
ENSG00000003393	1875
ENSG00000003400	35
ENSG00000003402	838
ENSG00000003436	2277
ENSG00000003509	608
ENSG00000003756	6376
ENSG00000003987	31
ENSG00000003989	829
ENSG00000004059	1577
ENSG00000004139	264
ENSG00000004142	2011
ENSG00000004399	2709
ENSG00000004455	1508
ENSG00000004468	347
ENSG00000004478	1730
ENSG00000004487	5108
ENSG00000004534	4276
ENSG00000004660	132
ENSG00000004700	977
ENSG00000004766	754
ENSG00000004776	36
ENSG00000004777	1576
ENSG00000004779	872
ENSG00000004799	178
ENSG00000004809	0
ENSG00000004838	31
ENSG00000004846	61
ENSG00000004848	6
ENSG00000004864	1110
ENSG00000004866	876
ENSG00000004897	2746
ENSG00000004939	0
ENSG00000004948	10
ENSG00000004961	479
ENSG00000004975	2504
ENSG00000005001	0
ENSG00000005007	2843
ENSG00000005020	226
ENSG00000005022	2957
ENSG00000005059	87
ENSG00000005073	308
ENSG00000005075	550
ENSG00000005100	960
ENSG00000005102	103
ENSG00000005108	531
ENSG00000005156	1346
ENSG00000005175	913
ENSG00000005187	44
ENSG00000005189	171
ENSG00000005194	1338
ENSG00000005206	2119
ENSG00000005238	946
ENSG00000005243	666
ENSG00000005249	409
ENSG00000005302	1026
ENSG00000005339	4825
ENSG00000005379	106
ENSG00000005381	0
ENSG00000005421	2
ENSG00000005436	457
ENSG00000005448	343
ENSG00000005469	412
ENSG00000005471	297
ENSG00000005483	2487
ENSG00000005486	1379
ENSG00000005513	159
ENSG00000005700	2274
ENSG00000005801	1021
ENSG00000005810	2127
ENSG00000005812	1096
ENSG00000005844	7
ENSG00000005882	559
ENSG00000005884	183
ENSG00000005889	968
ENSG00000005893	4035
ENSG00000005955	1873
ENSG00000005961	161
ENSG00000005981	0
ENSG00000006007	1401
ENSG00000006015	461
ENSG00000006016	221
ENSG00000006025	562
ENSG00000006042	2450
ENSG00000006047	88
ENSG00000006059	0
ENSG00000006062	302
ENSG00000006071	16
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	2232
ENSG00000006116	1
ENSG00000006118	3859
ENSG00000006125	7250
ENSG00000006128	94
ENSG00000006194	947
ENSG00000006210	432
ENSG00000006282	878
ENSG00000006283	2051
ENSG00000006327	574
ENSG00000006377	0
ENSG00000006432	280
ENSG00000006451	1578
ENSG00000006453	91
ENSG00000006459	428
ENSG00000006468	1048
ENSG00000006530	768
ENSG00000006534	93
ENSG00000006555	0
ENSG00000006576	1525
ENSG00000006606	1
ENSG00000006607	1545
ENSG00000006611	1
ENSG00000006625	636
ENSG00000006634	668
ENSG00000006638	18
ENSG00000006652	1488
ENSG00000006659	0
ENSG00000006695	303
ENSG00000006704	1208
ENSG00000006712	1647
ENSG00000006715	2431
ENSG00000006740	129
ENSG00000006744	1686
ENSG00000006747	87
ENSG00000006756	294
ENSG00000006757	150
ENSG00000006788	0
ENSG00000006831	2198
ENSG00000006837	27
ENSG00000007001	4
ENSG00000007038	0
ENSG00000007047	1617
ENSG00000007062	2035
ENSG00000007080	1112
ENSG00000007129	6
ENSG00000007168	5215
ENSG00000007171	12
ENSG00000007174	26
ENSG00000007202	3704
ENSG00000007216	0
ENSG00000007237	515
ENSG00000007255	126
ENSG00000007264	5
ENSG00000007306	0
ENSG00000007312	7
ENSG00000007314	13
ENSG00000007341	276
ENSG00000007350	21
ENSG00000007372	194
ENSG00000007376	401
ENSG00000007384	1464
ENSG00000007392	2993
ENSG00000007402	571
ENSG00000007516	427
ENSG00000007520	685
ENSG00000007541	1490
ENSG00000007545	763
ENSG00000007866	2600
ENSG00000007908	0
ENSG00000007923	1236
ENSG00000007933	18
ENSG00000007944	1098
ENSG00000007952	14
ENSG00000007968	395
ENSG00000008018	2649
ENSG00000008056	64
ENSG00000008083	1929
ENSG00000008086	132
ENSG00000008118	21
ENSG00000008128	24
ENSG00000008130	1600
ENSG00000008196	669
ENSG00000008197	0
ENSG00000008226	15
ENSG00000008256	2932
ENSG00000008277	1079
ENSG00000008282	1694
ENSG00000008283	160
ENSG00000008294	6766
ENSG00000008300	1118
ENSG00000008311	1927
ENSG00000008323	23
ENSG00000008324	199
ENSG00000008382	263
ENSG00000008394	376
ENSG00000008405	1351
ENSG00000008438	6
ENSG00000008441	2325
ENSG00000008513	653
ENSG00000008516	101
ENSG00000008517	207
ENSG00000008710	4376
ENSG00000008735	360
ENSG00000008838	2746
ENSG00000008853	997
ENSG00000008869	1044
ENSG00000008952	3580
ENSG00000008988	10484
ENSG00000009307	14498
ENSG00000009335	2304
ENSG00000009413	1728
ENSG00000009694	983
ENSG00000009709	36
ENSG00000009724	123
ENSG00000009765	0
ENSG00000009780	299
ENSG00000009790	29
ENSG00000009830	1507
ENSG00000009844	1683
ENSG00000009950	12
ENSG00000009954	4580
ENSG00000010017	1232
ENSG00000010030	1
ENSG00000010072	402
ENSG00000010165	763
ENSG00000010219	221
ENSG00000010244	4610
ENSG00000010256	2985
ENSG00000010270	1480
ENSG00000010278	33
ENSG00000010282	0
ENSG00000010292	4887
ENSG00000010295	835
ENSG00000010310	122
ENSG00000010318	93
ENSG00000010319	16
ENSG00000010322	6015
ENSG00000010327	2
ENSG00000010361	309
ENSG00000010379	4
ENSG00000010404	2432
ENSG00000010438	1
ENSG00000010539	458
ENSG00000010610	207
ENSG00000010626	78
ENSG00000010671	0
ENSG00000010704	102
ENSG00000010803	1272
ENSG00000010810	4072
ENSG00000010818	373
ENSG00000010932	731
ENSG00000011007	1423
ENSG00000011009	931
ENSG00000011021	2098
ENSG00000011028	8601
ENSG00000011052	0
ENSG00000011083	2
ENSG00000011105	3228
ENSG00000011114	1552
ENSG00000011132	387
ENSG00000011143	497
ENSG00000011198	143
ENSG00000011201	382
ENSG00000011243	2782
ENSG00000011258	1361
ENSG00000011260	771
ENSG00000011275	2134
ENSG00000011295	1004
ENSG00000011304	9509
ENSG00000011332	301
ENSG00000011347	74
ENSG00000011376	927
ENSG00000011405	2692
ENSG00000011422	384
ENSG00000011426	3414
ENSG00000011451	3094
ENSG00000011454	3233
ENSG00000011465	27812
ENSG00000011478	282
ENSG00000011485	1723
ENSG00000011523	986
ENSG00000011566	2167
ENSG00000011590	13
ENSG00000011600	0
ENSG00000011638	511
ENSG00000011677	17
ENSG00000012048	515
ENSG00000012061	1198
ENSG00000012124	0
ENSG00000012171	210
ENSG00000012174	1037
ENSG00000012211	26
ENSG00000012223	0
ENSG00000012232	4196
ENSG00000012504	3
ENSG00000012660	5538
ENSG00000012779	0
ENSG00000012817	2222
ENSG00000012822	2438
ENSG00000012963	1007
ENSG00000012983	2497
ENSG00000013016	633
ENSG00000013275	1705
ENSG00000013288	1469
ENSG00000013293	133
ENSG00000013297	270
ENSG00000013306	1860
ENSG00000013364	545
ENSG00000013374	1242
ENSG00000013375	2168
ENSG00000013392	300
ENSG00000013441	1831
ENSG00000013503	496
ENSG00000013523	803
ENSG00000013561	808
ENSG00000013563	90
ENSG00000013573	1363
ENSG00000013583	805
ENSG00000013588	76
ENSG00000013619	316
ENSG00000013725	4
ENSG00000013810	2962
ENSG00000014123	1052
ENSG00000014138	1092
ENSG00000014164	601
ENSG00000014216	2795
ENSG00000014257	4
ENSG00000014641	3095
ENSG00000014824	2528
ENSG00000014914	763
ENSG00000014919	1109
ENSG00000015133	942
ENSG00000015153	323
ENSG00000015171	2741
ENSG00000015285	11
ENSG00000015413	0
ENSG00000015475	363
ENSG00000015479	12840
ENSG00000015520	2
ENSG00000015532	1110
ENSG00000015568	25
ENSG00000015592	52
ENSG00000015676	2315
ENSG00000016082	19
ENSG00000016391	168
ENSG00000016402	6
ENSG00000016490	0
ENSG00000016602	2
ENSG00000016864	2048
ENSG00000017260	2843
ENSG00000017373	523
