geneID	C4_kd1
ENSG00000000003	913
ENSG00000000005	10217
ENSG00000000419	498
ENSG00000000457	198
ENSG00000000460	194
ENSG00000000938	0
ENSG00000000971	1515
ENSG00000001036	425
ENSG00000001084	337
ENSG00000001167	1215
ENSG00000001460	46
ENSG00000001461	303
ENSG00000001497	735
ENSG00000001561	81
ENSG00000001617	2271
ENSG00000001626	3
ENSG00000001629	1896
ENSG00000001630	83
ENSG00000001631	637
ENSG00000002016	362
ENSG00000002330	117
ENSG00000002549	728
ENSG00000002586	0
ENSG00000002587	7
ENSG00000002726	1
ENSG00000002745	0
ENSG00000002746	203
ENSG00000002822	549
ENSG00000002834	9044
ENSG00000002919	361
ENSG00000002933	14
ENSG00000003056	949
ENSG00000003096	512
ENSG00000003137	84
ENSG00000003147	40
ENSG00000003249	87
ENSG00000003393	1330
ENSG00000003400	25
ENSG00000003402	301
ENSG00000003436	2319
ENSG00000003509	499
ENSG00000003756	4706
ENSG00000003987	18
ENSG00000003989	24
ENSG00000004059	1168
ENSG00000004139	145
ENSG00000004142	1263
ENSG00000004399	3156
ENSG00000004455	1269
ENSG00000004468	47
ENSG00000004478	1351
ENSG00000004487	2908
ENSG00000004534	3094
ENSG00000004660	145
ENSG00000004700	654
ENSG00000004766	560
ENSG00000004776	11
ENSG00000004777	498
ENSG00000004779	447
ENSG00000004799	53
ENSG00000004809	1
ENSG00000004838	12
ENSG00000004846	5
ENSG00000004848	0
ENSG00000004864	613
ENSG00000004866	467
ENSG00000004897	1818
ENSG00000004939	0
ENSG00000004948	0
ENSG00000004961	278
ENSG00000004975	1466
ENSG00000005001	0
ENSG00000005007	2518
ENSG00000005020	378
ENSG00000005022	1714
ENSG00000005059	82
ENSG00000005073	476
ENSG00000005075	372
ENSG00000005100	603
ENSG00000005102	1937
ENSG00000005108	564
ENSG00000005156	798
ENSG00000005175	625
ENSG00000005187	0
ENSG00000005189	89
ENSG00000005194	765
ENSG00000005206	1354
ENSG00000005238	847
ENSG00000005243	605
ENSG00000005249	366
ENSG00000005302	625
ENSG00000005339	3663
ENSG00000005379	34
ENSG00000005381	0
ENSG00000005421	5
ENSG00000005436	312
ENSG00000005448	114
ENSG00000005469	246
ENSG00000005471	18
ENSG00000005483	1727
ENSG00000005486	672
ENSG00000005513	287
ENSG00000005700	1925
ENSG00000005801	555
ENSG00000005810	2125
ENSG00000005812	764
ENSG00000005844	0
ENSG00000005882	412
ENSG00000005884	363
ENSG00000005889	681
ENSG00000005893	2666
ENSG00000005955	1261
ENSG00000005961	86
ENSG00000005981	1
ENSG00000006007	910
ENSG00000006015	350
ENSG00000006016	780
ENSG00000006025	460
ENSG00000006042	2014
ENSG00000006047	28
ENSG00000006059	0
ENSG00000006062	203
ENSG00000006071	69
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	1712
ENSG00000006116	0
ENSG00000006118	2637
ENSG00000006125	4995
ENSG00000006128	93
ENSG00000006194	730
ENSG00000006210	58
ENSG00000006282	1342
ENSG00000006283	975
ENSG00000006327	982
ENSG00000006377	5
ENSG00000006432	287
ENSG00000006451	928
ENSG00000006453	27
ENSG00000006459	498
ENSG00000006468	841
ENSG00000006530	518
ENSG00000006534	11
ENSG00000006555	0
ENSG00000006576	1552
ENSG00000006606	0
ENSG00000006607	991
ENSG00000006611	15
ENSG00000006625	245
ENSG00000006634	210
ENSG00000006638	23
ENSG00000006652	1113
ENSG00000006659	0
ENSG00000006695	245
ENSG00000006704	734
ENSG00000006712	1164
ENSG00000006715	1423
ENSG00000006740	105
ENSG00000006744	1126
ENSG00000006747	60
ENSG00000006756	264
ENSG00000006757	167
ENSG00000006788	2
ENSG00000006831	1347
ENSG00000006837	6
ENSG00000007001	0
ENSG00000007038	0
ENSG00000007047	1347
ENSG00000007062	5999
ENSG00000007080	686
ENSG00000007129	0
ENSG00000007168	3757
ENSG00000007171	7
ENSG00000007174	30
ENSG00000007202	2587
ENSG00000007216	0
ENSG00000007237	225
ENSG00000007255	87
ENSG00000007264	0
ENSG00000007306	0
ENSG00000007312	0
ENSG00000007314	0
ENSG00000007341	206
ENSG00000007350	1
ENSG00000007372	20
ENSG00000007376	312
ENSG00000007384	1698
ENSG00000007392	2022
ENSG00000007402	310
ENSG00000007516	17
ENSG00000007520	397
ENSG00000007541	1119
ENSG00000007545	490
ENSG00000007866	1855
ENSG00000007908	159
ENSG00000007923	828
ENSG00000007933	13
ENSG00000007944	622
ENSG00000007952	0
ENSG00000007968	67
ENSG00000008018	1801
ENSG00000008056	43
ENSG00000008083	1014
ENSG00000008086	142
ENSG00000008118	38
ENSG00000008128	16
ENSG00000008130	1291
ENSG00000008196	25
ENSG00000008197	0
ENSG00000008226	3
ENSG00000008256	2009
ENSG00000008277	262
ENSG00000008282	1169
ENSG00000008283	80
ENSG00000008294	3488
ENSG00000008300	444
ENSG00000008311	892
ENSG00000008323	4
ENSG00000008324	113
ENSG00000008382	54
ENSG00000008394	639
ENSG00000008405	1270
ENSG00000008438	8
ENSG00000008441	3438
ENSG00000008513	1038
ENSG00000008516	55
ENSG00000008517	212
ENSG00000008710	4474
ENSG00000008735	87
ENSG00000008838	1541
ENSG00000008853	552
ENSG00000008869	778
ENSG00000008952	2981
ENSG00000008988	7952
ENSG00000009307	10274
ENSG00000009335	2165
ENSG00000009413	1156
ENSG00000009694	1121
ENSG00000009709	0
ENSG00000009724	84
ENSG00000009765	0
ENSG00000009780	109
ENSG00000009790	21
ENSG00000009830	1029
ENSG00000009844	1123
ENSG00000009950	8
ENSG00000009954	2847
ENSG00000010017	901
ENSG00000010030	6
ENSG00000010072	260
ENSG00000010165	551
ENSG00000010219	88
ENSG00000010244	3094
ENSG00000010256	1540
ENSG00000010270	919
ENSG00000010278	100
ENSG00000010282	0
ENSG00000010292	1500
ENSG00000010295	938
ENSG00000010310	48
ENSG00000010318	34
ENSG00000010319	25
ENSG00000010322	5963
ENSG00000010327	7
ENSG00000010361	129
ENSG00000010379	5
ENSG00000010404	1347
ENSG00000010438	4
ENSG00000010539	223
ENSG00000010610	15
ENSG00000010626	53
ENSG00000010671	0
ENSG00000010704	120
ENSG00000010803	820
ENSG00000010810	1392
ENSG00000010818	571
ENSG00000010932	14
ENSG00000011007	1366
ENSG00000011009	1043
ENSG00000011021	1178
ENSG00000011028	16375
ENSG00000011052	0
ENSG00000011083	0
ENSG00000011105	4306
ENSG00000011114	1322
ENSG00000011132	315
ENSG00000011143	257
ENSG00000011198	83
ENSG00000011201	3494
ENSG00000011243	1833
ENSG00000011258	776
ENSG00000011260	427
ENSG00000011275	1744
ENSG00000011295	667
ENSG00000011304	5395
ENSG00000011332	105
ENSG00000011347	26
ENSG00000011376	646
ENSG00000011405	2146
ENSG00000011422	350
ENSG00000011426	958
ENSG00000011451	2108
ENSG00000011454	1854
ENSG00000011465	12113
ENSG00000011478	154
ENSG00000011485	1187
ENSG00000011523	398
ENSG00000011566	1449
ENSG00000011590	10
ENSG00000011600	0
ENSG00000011638	394
ENSG00000011677	22
ENSG00000012048	203
ENSG00000012061	886
ENSG00000012124	0
ENSG00000012171	668
ENSG00000012174	766
ENSG00000012211	59
ENSG00000012223	0
ENSG00000012232	1665
ENSG00000012504	0
ENSG00000012660	2934
ENSG00000012779	2
ENSG00000012817	1953
ENSG00000012822	2650
ENSG00000012963	511
ENSG00000012983	2249
ENSG00000013016	741
ENSG00000013275	1389
ENSG00000013288	1758
ENSG00000013293	49
ENSG00000013297	164
ENSG00000013306	1258
ENSG00000013364	737
ENSG00000013374	913
ENSG00000013375	2493
ENSG00000013392	297
ENSG00000013441	1842
ENSG00000013503	321
ENSG00000013523	468
ENSG00000013561	638
ENSG00000013563	91
ENSG00000013573	628
ENSG00000013583	530
ENSG00000013588	166
ENSG00000013619	366
ENSG00000013725	0
ENSG00000013810	771
ENSG00000014123	804
ENSG00000014138	344
ENSG00000014164	533
ENSG00000014216	1727
ENSG00000014257	10
ENSG00000014641	1624
ENSG00000014824	1452
ENSG00000014914	698
ENSG00000014919	595
ENSG00000015133	340
ENSG00000015153	283
ENSG00000015171	1758
ENSG00000015285	6
ENSG00000015413	0
ENSG00000015475	242
ENSG00000015479	7618
ENSG00000015520	0
ENSG00000015532	1192
ENSG00000015568	150
ENSG00000015592	11
ENSG00000015676	1884
ENSG00000016082	3
ENSG00000016391	47
ENSG00000016402	2
ENSG00000016490	0
ENSG00000016602	4
ENSG00000016864	1774
ENSG00000017260	2581
ENSG00000017373	200
ENSG00000017427	1034
ENSG00000017483	8
ENSG00000017621	36
ENSG00000017797	1336
ENSG00000018189	1567
ENSG00000018236	1072
ENSG00000018280	5
ENSG00000018408	2174
ENSG00000018510	920
ENSG00000018610	269
ENSG00000018625	60
ENSG00000018699	586
ENSG00000018869	79
ENSG00000019102	0
ENSG00000019144	2518
ENSG00000019169	0
ENSG00000019186	0
ENSG00000019485	231
ENSG00000019505	153
ENSG00000019549	2587
ENSG00000019582	2
ENSG00000019991	905
ENSG00000019995	1225
ENSG00000020129	1209
ENSG00000020181	4571
ENSG00000020256	603
ENSG00000020426	239
ENSG00000020577	2257
ENSG00000020633	0
ENSG00000020922	277
ENSG00000021300	9
ENSG00000021355	56
ENSG00000021461	0
ENSG00000021488	13
ENSG00000021574	655
ENSG00000021645	440
ENSG00000021762	925
ENSG00000021776	1000
ENSG00000021826	374
ENSG00000021852	0
ENSG00000022267	7745
ENSG00000022277	785
ENSG00000022355	0
ENSG00000022556	163
ENSG00000022567	294
ENSG00000022840	2546
ENSG00000022976	395
ENSG00000023041	570
ENSG00000023171	164
ENSG00000023191	2157
ENSG00000023228	1979
ENSG00000023287	1387
ENSG00000023318	1350
ENSG00000023330	759
ENSG00000023445	8
ENSG00000023516	1525
ENSG00000023572	99
ENSG00000023608	134
ENSG00000023697	399
ENSG00000023734	3293
ENSG00000023839	9
ENSG00000023892	166
ENSG00000023902	1117
ENSG00000023909	200
ENSG00000024048	1133
ENSG00000024422	5452
ENSG00000024526	242
ENSG00000024862	137
ENSG00000025039	80
ENSG00000025156	419
ENSG00000025293	1140
ENSG00000025423	35
ENSG00000025434	146
ENSG00000025708	11
ENSG00000025770	691
ENSG00000025772	540
ENSG00000025796	2397
ENSG00000025800	1719
ENSG00000026025	15985
ENSG00000026036	111
ENSG00000026103	502
ENSG00000026297	37
ENSG00000026508	2859
ENSG00000026559	93
ENSG00000026652	899
ENSG00000026751	0
ENSG00000026950	503
ENSG00000027001	137
ENSG00000027075	43
ENSG00000027644	16
ENSG00000027697	857
ENSG00000027847	592
ENSG00000027869	16
