"C2_con1"	"C2_con2"	"C2_con3"	"C2_kd1"	"C2_kd2"	"C2_kd3"	"C5_con1"	"C5_con2"	"C5_con3"	"C5_kd1"	"C5_kd2"	"C5_kd3"	"C4_con1"	"C4_con2"	"C4_con3"	"C4_kd1"	"C4_kd2"	"C4_kd3"
"ENSG00000000003"	1540	2064	2226	2262	2396	2548	1831	1811	2038	1752	2076	1796	836	915	948	913	990	1298
"ENSG00000000005"	4998	6588	5987	5886	6249	5187	1904	1804	2299	1601	1780	1502	9066	6911	10580	10217	9952	10138
"ENSG00000000419"	551	740	810	705	736	817	650	612	740	589	709	616	491	535	650	498	633	716
"ENSG00000000457"	247	358	327	297	346	363	321	277	340	285	332	295	218	209	201	198	225	258
"ENSG00000000460"	271	343	373	339	395	410	369	329	374	336	476	396	117	154	138	194	180	183
"ENSG00000000938"	0	0	1	3	0	3	1	0	3	0	0	0	1	2	0	0	0	0
"ENSG00000000971"	722	621	733	1157	831	704	812	803	845	534	702	619	2004	1989	1991	1515	1562	2115
"ENSG00000001036"	827	844	997	918	864	953	811	643	898	637	783	736	410	528	428	425	437	476
"ENSG00000001084"	423	491	516	457	465	537	367	353	423	296	406	315	354	431	384	337	362	459
"ENSG00000001167"	1437	1549	1765	1659	1947	1880	1656	1435	1743	1461	1892	1662	979	1075	1318	1215	1224	1606
"ENSG00000001460"	99	120	93	123	131	119	94	104	92	89	87	72	51	87	82	46	91	73
"ENSG00000001461"	196	214	199	251	226	272	174	132	197	146	175	150	276	218	314	303	230	318
"ENSG00000001497"	1177	1410	1486	1282	1481	1642	1366	1207	1450	1017	1358	1278	764	893	906	735	930	1096
"ENSG00000001561"	27	78	68	60	81	73	164	121	116	114	140	118	96	71	78	81	56	64
"ENSG00000001617"	514	616	356	762	624	615	114	108	120	72	112	107	2020	2661	2123	2271	2740	3372
"ENSG00000001626"	4	3	7	12	5	11	4	1	4	1	8	2	10	10	10	3	10	5
"ENSG00000001629"	2026	2463	2626	2304	2456	2619	2201	2147	2652	1752	2593	2026	2069	1852	2314	1896	2268	2650
"ENSG00000001630"	172	133	153	167	160	181	227	119	208	108	125	134	104	80	96	83	88	104
"ENSG00000001631"	690	866	947	882	1015	1085	862	835	888	720	997	848	551	602	568	637	674	776
"ENSG00000002016"	384	565	469	547	615	601	647	622	748	507	721	493	365	427	390	362	498	646
"ENSG00000002330"	176	215	165	203	240	256	178	179	231	142	175	147	100	113	114	117	130	111
"ENSG00000002549"	875	857	1089	824	912	906	1040	872	1038	872	1015	943	777	764	839	728	715	915
"ENSG00000002586"	0	4	0	69	7	0	0	3	0	0	0	0	0	2	0	0	3	2
"ENSG00000002587"	103	238	253	123	219	326	259	198	275	165	282	216	6	1	10	7	4	7
"ENSG00000002726"	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000002745"	7	1	3	5	5	4	0	0	1	2	1	1	0	3	0	0	2	0
"ENSG00000002746"	186	152	159	131	120	163	40	23	38	24	36	36	247	221	225	203	204	233
"ENSG00000002822"	855	855	945	900	967	1044	934	797	851	617	817	759	468	571	508	549	548	684
"ENSG00000002834"	15170	13932	15133	11013	12012	12137	8972	8087	10111	7031	8465	8171	8950	8700	10030	9044	8532	9652
"ENSG00000002919"	388	456	480	376	474	460	445	458	542	437	528	496	301	336	349	361	310	423
"ENSG00000002933"	73	46	41	61	78	29	4	0	0	0	0	0	4	10	17	14	6	14
"ENSG00000003056"	1318	1326	1632	1215	1369	1543	1762	1889	1966	1540	2036	1710	994	956	1251	949	1225	1160
"ENSG00000003096"	445	486	489	552	544	535	297	273	306	253	359	259	426	348	557	512	491	497
"ENSG00000003137"	293	443	272	718	585	461	64	49	89	38	98	53	69	131	97	84	164	167
"ENSG00000003147"	13	32	18	21	16	50	40	31	59	45	55	58	27	42	29	40	31	32
"ENSG00000003249"	107	117	114	74	116	125	238	259	271	195	196	180	94	94	103	87	67	79
"ENSG00000003393"	1745	1875	1926	1761	1886	2137	2030	1805	2010	1580	2071	1769	1273	1287	1503	1330	1211	1642
"ENSG00000003400"	31	35	24	30	19	34	5	6	10	10	8	5	14	27	29	25	25	24
"ENSG00000003402"	682	838	842	709	808	925	939	777	1107	717	1113	879	410	409	438	301	365	426
