geneID	C2_con3
ENSG00000000003	2226
ENSG00000000005	5987
ENSG00000000419	810
ENSG00000000457	327
ENSG00000000460	373
ENSG00000000938	1
ENSG00000000971	733
ENSG00000001036	997
ENSG00000001084	516
ENSG00000001167	1765
ENSG00000001460	93
ENSG00000001461	199
ENSG00000001497	1486
ENSG00000001561	68
ENSG00000001617	356
ENSG00000001626	7
ENSG00000001629	2626
ENSG00000001630	153
ENSG00000001631	947
ENSG00000002016	469
ENSG00000002330	165
ENSG00000002549	1089
ENSG00000002586	0
ENSG00000002587	253
ENSG00000002726	0
ENSG00000002745	3
ENSG00000002746	159
ENSG00000002822	945
ENSG00000002834	15133
ENSG00000002919	480
ENSG00000002933	41
ENSG00000003056	1632
ENSG00000003096	489
ENSG00000003137	272
ENSG00000003147	18
ENSG00000003249	114
ENSG00000003393	1926
ENSG00000003400	24
ENSG00000003402	842
ENSG00000003436	2951
ENSG00000003509	589
ENSG00000003756	6000
ENSG00000003987	27
ENSG00000003989	630
ENSG00000004059	1654
ENSG00000004139	223
ENSG00000004142	2066
ENSG00000004399	3254
ENSG00000004455	1787
ENSG00000004468	859
ENSG00000004478	1966
ENSG00000004487	5169
ENSG00000004534	4203
ENSG00000004660	116
ENSG00000004700	1150
ENSG00000004766	815
ENSG00000004776	32
ENSG00000004777	1325
ENSG00000004779	885
ENSG00000004799	164
ENSG00000004809	0
ENSG00000004838	24
ENSG00000004846	40
ENSG00000004848	2
ENSG00000004864	1528
ENSG00000004866	955
ENSG00000004897	3115
ENSG00000004939	0
ENSG00000004948	25
ENSG00000004961	492
ENSG00000004975	2429
ENSG00000005001	0
ENSG00000005007	3094
ENSG00000005020	255
ENSG00000005022	3588
ENSG00000005059	105
ENSG00000005073	198
ENSG00000005075	565
ENSG00000005100	1071
ENSG00000005102	305
ENSG00000005108	427
ENSG00000005156	1393
ENSG00000005175	1119
ENSG00000005187	23
ENSG00000005189	200
ENSG00000005194	1479
ENSG00000005206	1825
ENSG00000005238	918
ENSG00000005243	607
ENSG00000005249	338
ENSG00000005302	1051
ENSG00000005339	4756
ENSG00000005379	64
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	519
ENSG00000005448	340
ENSG00000005469	509
ENSG00000005471	196
ENSG00000005483	2491
ENSG00000005486	1413
ENSG00000005513	268
ENSG00000005700	2371
ENSG00000005801	1179
ENSG00000005810	2300
ENSG00000005812	1027
ENSG00000005844	2
ENSG00000005882	528
ENSG00000005884	372
ENSG00000005889	959
ENSG00000005893	4002
ENSG00000005955	1992
ENSG00000005961	123
ENSG00000005981	3
ENSG00000006007	1390
ENSG00000006015	407
ENSG00000006016	354
ENSG00000006025	525
ENSG00000006042	2619
ENSG00000006047	84
ENSG00000006059	0
ENSG00000006062	440
ENSG00000006071	6
ENSG00000006074	0
ENSG00000006075	4
ENSG00000006114	2338
ENSG00000006116	7
ENSG00000006118	3320
ENSG00000006125	7627
ENSG00000006128	145
ENSG00000006194	934
ENSG00000006210	414
ENSG00000006282	859
ENSG00000006283	1514
ENSG00000006327	907
ENSG00000006377	0
ENSG00000006432	275
ENSG00000006451	1709
ENSG00000006453	101
ENSG00000006459	391
ENSG00000006468	1416
ENSG00000006530	827
ENSG00000006534	72
ENSG00000006555	0
ENSG00000006576	1612
ENSG00000006606	0
ENSG00000006607	1674
ENSG00000006611	3
ENSG00000006625	693
