geneID	C4_kd2
ENSG00000000003	990
ENSG00000000005	9952
ENSG00000000419	633
ENSG00000000457	225
ENSG00000000460	180
ENSG00000000938	0
ENSG00000000971	1562
ENSG00000001036	437
ENSG00000001084	362
ENSG00000001167	1224
ENSG00000001460	91
ENSG00000001461	230
ENSG00000001497	930
ENSG00000001561	56
ENSG00000001617	2740
ENSG00000001626	10
ENSG00000001629	2268
ENSG00000001630	88
ENSG00000001631	674
ENSG00000002016	498
ENSG00000002330	130
ENSG00000002549	715
ENSG00000002586	3
ENSG00000002587	4
ENSG00000002726	0
ENSG00000002745	2
ENSG00000002746	204
ENSG00000002822	548
ENSG00000002834	8532
ENSG00000002919	310
ENSG00000002933	6
ENSG00000003056	1225
ENSG00000003096	491
ENSG00000003137	164
ENSG00000003147	31
ENSG00000003249	67
ENSG00000003393	1211
ENSG00000003400	25
ENSG00000003402	365
ENSG00000003436	2145
ENSG00000003509	475
ENSG00000003756	5063
ENSG00000003987	23
ENSG00000003989	63
ENSG00000004059	1115
ENSG00000004139	167
ENSG00000004142	1427
ENSG00000004399	2666
ENSG00000004455	1306
ENSG00000004468	79
ENSG00000004478	1189
ENSG00000004487	2984
ENSG00000004534	3573
ENSG00000004660	122
ENSG00000004700	770
ENSG00000004766	571
ENSG00000004776	4
ENSG00000004777	620
ENSG00000004779	473
ENSG00000004799	55
ENSG00000004809	1
ENSG00000004838	10
ENSG00000004846	5
ENSG00000004848	0
ENSG00000004864	642
ENSG00000004866	420
ENSG00000004897	2002
ENSG00000004939	0
ENSG00000004948	1
ENSG00000004961	355
ENSG00000004975	1638
ENSG00000005001	0
ENSG00000005007	2288
ENSG00000005020	379
ENSG00000005022	1836
ENSG00000005059	81
ENSG00000005073	539
ENSG00000005075	223
ENSG00000005100	699
ENSG00000005102	1915
ENSG00000005108	686
ENSG00000005156	903
ENSG00000005175	592
ENSG00000005187	0
ENSG00000005189	73
ENSG00000005194	770
ENSG00000005206	1429
ENSG00000005238	652
ENSG00000005243	710
ENSG00000005249	566
ENSG00000005302	702
ENSG00000005339	3795
ENSG00000005379	40
ENSG00000005381	0
ENSG00000005421	1
ENSG00000005436	381
ENSG00000005448	132
ENSG00000005469	242
ENSG00000005471	12
ENSG00000005483	1905
ENSG00000005486	755
ENSG00000005513	250
ENSG00000005700	1903
ENSG00000005801	616
ENSG00000005810	2179
ENSG00000005812	822
ENSG00000005844	0
ENSG00000005882	512
ENSG00000005884	217
ENSG00000005889	739
ENSG00000005893	2535
ENSG00000005955	1423
ENSG00000005961	87
ENSG00000005981	0
ENSG00000006007	923
ENSG00000006015	253
ENSG00000006016	910
ENSG00000006025	410
ENSG00000006042	2028
ENSG00000006047	48
ENSG00000006059	0
ENSG00000006062	209
ENSG00000006071	75
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	1716
ENSG00000006116	0
ENSG00000006118	2366
ENSG00000006125	5567
ENSG00000006128	87
ENSG00000006194	731
ENSG00000006210	60
ENSG00000006282	1327
ENSG00000006283	1342
ENSG00000006327	777
ENSG00000006377	3
ENSG00000006432	280
ENSG00000006451	1054
ENSG00000006453	55
ENSG00000006459	553
ENSG00000006468	1114
ENSG00000006530	475
ENSG00000006534	13
ENSG00000006555	0
ENSG00000006576	1596
ENSG00000006606	0
ENSG00000006607	1071
ENSG00000006611	26
ENSG00000006625	364
ENSG00000006634	252
ENSG00000006638	10
ENSG00000006652	1125
ENSG00000006659	0
ENSG00000006695	245
ENSG00000006704	845
ENSG00000006712	1165
ENSG00000006715	1732
ENSG00000006740	138
ENSG00000006744	1232
ENSG00000006747	68
ENSG00000006756	203
ENSG00000006757	172
ENSG00000006788	0
ENSG00000006831	1578
ENSG00000006837	11
ENSG00000007001	2
ENSG00000007038	0
ENSG00000007047	1283
ENSG00000007062	6861
ENSG00000007080	642
ENSG00000007129	0
ENSG00000007168	3604
ENSG00000007171	0
ENSG00000007174	31
ENSG00000007202	2767
ENSG00000007216	0
ENSG00000007237	247
ENSG00000007255	88
ENSG00000007264	4
ENSG00000007306	0
ENSG00000007312	0
ENSG00000007314	3
ENSG00000007341	220
ENSG00000007350	0
ENSG00000007372	23
